,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,A&O Crew Oy,25.08.2015,
1,Y-tunnus,2705649-3,,
2,Kotipaikka,Ilmajoki,25.08.2015,
3,Yritysmuoto,Osakeyhtiö,25.08.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,25.08.2015,,
6,Viimeisin rekisteröintiajankohta,08.02.2023,08.02.2023,
7,Yrityksen tiedot järjestelmässä alkaen,25.08.2015,,
8,Yrityksen tila,Rekisterissä,25.08.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,30.11.2022,
11,Yhteystiedot,,20.08.2015,
12,Postiosoite,Munakunnantie 20  60720  Tuomikylä  Suomi,,
13,Puhelin,044 5577049,,
14,Sähköposti,aapo.m.isotalo(a)gmail.com,,
