,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Imaken Oy,29.05.2015,
1,Y-tunnus,2692356-7,,
2,Kotipaikka,Kirkkonummi,22.10.2019,
3,Yritysmuoto,Osakeyhtiö,29.05.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,29.05.2015,,
6,Viimeisin rekisteröintiajankohta,03.05.2022,03.05.2022,
7,Yrityksen tiedot järjestelmässä alkaen,29.05.2015,,
8,Yrityksen tila,Rekisterissä,29.05.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,09.04.2020,
11,Yhteystiedot,,27.02.2023,
12,Postiosoite,c/o Kristiina Palomäki  Peikonkuja 7  02400  Kirkkonummi  Suomi,,
13,Puhelin,0445291320,,
14,Sähköposti,palomaen.kristiina(a)gmail.com,,
