,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Nikulan Tarha Oy,01.02.2019,
1,Y-tunnus,2729163-7,,
2,Kotipaikka,Kannus,01.02.2019,
3,Yritysmuoto,Osakeyhtiö,01.02.2019,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,08.12.2015,,
6,Viimeisin rekisteröintiajankohta,11.05.2023,11.05.2023,
7,Yrityksen tiedot järjestelmässä alkaen,08.12.2015,,
8,Yrityksen tila,Rekisterissä,08.12.2015,
9,Yrityksellä on yrityskiinnityksiä,Kyllä,,
10,Yrityksellä on edunsaajatietoja,Kyllä,01.07.2020,
11,Yhteystiedot,,04.12.2015,
12,Postiosoite,Junkalantie 500  69100  Kannus  Suomi,,
13,Käyntiosoite,Junkalantie 500  69100  Kannus  Suomi,,
14,Puhelin,0504023612,,
15,Sähköposti,tomi.nikula99(a)gmail.com,,
