,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Mecema Oy,29.10.2015,
1,Y-tunnus,2718575-4,,
2,Kotipaikka,Loviisa,29.10.2015,
3,Yritysmuoto,Osakeyhtiö,29.10.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,29.10.2015,,
6,Viimeisin rekisteröintiajankohta,18.03.2021,18.03.2021,
7,Yrityksen tiedot järjestelmässä alkaen,29.10.2015,,
8,Yrityksen tila,Rekisterissä,29.10.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,19.10.2015,
12,Postiosoite,Lyckasvägen 9  07900  Loviisa  Suomi,,
13,Puhelin,0407419670,,
14,Sähköposti,mathias_tikander(a)hotmail.com,,
