,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,CreditLine Finland Oy,27.07.2015,
1,Y-tunnus,2701326-6,,
2,Kotipaikka,Lahti,27.07.2015,
3,Yritysmuoto,Osakeyhtiö,27.07.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,27.07.2015,,
6,Viimeisin rekisteröintiajankohta,21.05.2022,21.05.2022,
7,Yrityksen tiedot järjestelmässä alkaen,27.07.2015,,
8,Yrityksen tila,Rekisterissä,27.07.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,18.02.2020,
11,Yhteystiedot,,31.07.2019,
12,Postiosoite,Pollarikatu 3 A 34  15140  Lahti  Suomi,,
13,Käyntiosoite,Aleksis Kiven katu 48  00510  Helsinki  Suomi,,
14,Puhelin,0445856969,,
15,Sähköposti,jptammela(a)gmail.com,,
16,Www,http://www.creditline.fi,,
