,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Kruunumeri Oy,24.06.2015,
1,Y-tunnus,2680093-8,,
2,Kotipaikka,Helsinki,24.06.2015,
3,Yritysmuoto,Osakeyhtiö,24.06.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,24.06.2015,,
6,Viimeisin rekisteröintiajankohta,12.02.2023,12.02.2023,
7,Yrityksen tiedot järjestelmässä alkaen,24.06.2015,,
8,Yrityksen tila,Rekisterissä,24.06.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,25.05.2020,
11,Yhteystiedot,,20.07.2021,
12,Postiosoite,Aleksanterinkatu 12  00170  Helsinki  Suomi,,
13,Käyntiosoite,Aleksanterinkatu 12  00170  Helsinki  Suomi,,
14,Puhelin,"+358505422243, +358505422243",,
15,Sähköposti,sami.hautakoski(a)kruunumeri.fi,,
