,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,HGR International Oy,02.02.2016,
1,Y-tunnus,2733614-5,,
2,Kotipaikka,Vihti,02.02.2016,
3,Yritysmuoto,Osakeyhtiö,02.02.2016,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,02.02.2016,,
6,Viimeisin rekisteröintiajankohta,13.09.2022,13.09.2022,
7,Yrityksen tiedot järjestelmässä alkaen,02.02.2016,,
8,Yrityksen tila,Rekisterissä,02.02.2016,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,01.07.2020,
11,Yhteystiedot,,28.03.2018,
12,Postiosoite,Sepeteuksentie 32 A  00760  Helsinki  Suomi,,
13,Käyntiosoite,Metsäpurontie 26  00630  Helsinki  Suomi,,
14,Puhelin,"+358 40 744 3638, +358 50 571 2875",,
15,Sähköposti,henry.rawstorne(a)gmail.com,,
16,Www,http://www.hgrinternational.org,,
