,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Premetec Oy,22.04.2015,
1,Y-tunnus,2686044-7,,
2,Kotipaikka,Outokumpu,22.04.2015,
3,Yritysmuoto,Osakeyhtiö,22.04.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,22.04.2015,,
6,Viimeisin rekisteröintiajankohta,12.12.2022,12.12.2022,
7,Yrityksen tiedot järjestelmässä alkaen,22.04.2015,,
8,Yrityksen tila,Rekisterissä,22.04.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,07.09.2020,
11,Yhteystiedot,,26.02.2019,
12,Postiosoite,Karjalankatu 2  83500  Outokumpu  Suomi,,
13,Käyntiosoite,Karjalankatu 2  83500  Outokumpu  Suomi,,
14,Puhelin,"013553720, 0449806167",,
15,Sähköposti,paavo.linna(a)premetec.fi,,
16,Www,http://www.premetec.fi,,
