,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,New Port Imatra Oy,03.12.2015,
1,Y-tunnus,2700674-4,,
2,Kotipaikka,Imatra,27.09.2022,
3,Yritysmuoto,Osakeyhtiö,20.07.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,20.07.2015,,
6,Viimeisin rekisteröintiajankohta,27.09.2022,27.09.2022,
7,Yrityksen tiedot järjestelmässä alkaen,20.07.2015,,
8,Yrityksen tila,Rekisterissä,20.07.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,08.04.2020,
11,Yhteystiedot,,18.07.2022,
12,Postiosoite,c/o Juhani Turpeinen  Lammassaarentie 11  55420  Imatra  Suomi,,
13,Käyntiosoite,c/o Juhani Turpeinen  Lammassaarentie 11  55420  Imatra  Suomi,,
14,Puhelin,"0401490705, 0401490705",,
15,Sähköposti,info(a)newportimatra.fi,,
16,Www,http://www.newportimatra.fi,,
