,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Meikkaaja-maskeeraaja Emma Räsänen Oy,01.01.2016,
1,Y-tunnus,2724839-9,,
2,Kotipaikka,Helsinki,01.01.2016,
3,Yritysmuoto,Osakeyhtiö,01.01.2016,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,01.01.2016,,
6,Viimeisin rekisteröintiajankohta,25.03.2023,25.03.2023,
7,Yrityksen tiedot järjestelmässä alkaen,01.01.2016,,
8,Yrityksen tila,Rekisterissä,01.01.2016,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,26.09.2022,
11,Yhteystiedot,,28.12.2021,
12,Postiosoite,Korkeavuorenkatu 13 A 16  00130  Helsinki  Suomi,,
13,Käyntiosoite,Korkeavuorenkatu 13 A 16  00130  Helsinki  Suomi,,
14,Puhelin,"+358 400 665 089, +358 400 665 089",,
15,Sähköposti,emma(a)emmarasanen.com,,
16,Www,http://www.emmarasanen.com,,
