,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Mobify Invoices Oy,16.01.2020,
1,Y-tunnus,2714418-6,,
2,Kotipaikka,Turku,12.10.2015,
3,Yritysmuoto,Osakeyhtiö,12.10.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,12.10.2015,,
6,Viimeisin rekisteröintiajankohta,14.11.2022,14.11.2022,
7,Yrityksen tiedot järjestelmässä alkaen,12.10.2015,,
8,Yrityksen tila,Rekisterissä,12.10.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,20.09.2022,
11,Yhteystiedot,,30.01.2023,
12,Postiosoite,Kauppiaskatu 11 E 41  20100  Turku  Suomi,,
13,Käyntiosoite,Kauppiaskatu 11 E 41  20100  Turku  Suomi,,
14,Puhelin,"0440544703, 0440544703",,
15,Sähköposti,niklas.elomaa(a)mobify.fi,,
16,Www,http://www.mobify.fi,,
