,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Pelvis Oy,21.01.2016,
1,Y-tunnus,2736667-8,,
2,Kotipaikka,Kempele,21.01.2016,
3,Yritysmuoto,Osakeyhtiö,21.01.2016,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,21.01.2016,,
6,Viimeisin rekisteröintiajankohta,08.11.2022,08.11.2022,
7,Yrityksen tiedot järjestelmässä alkaen,21.01.2016,,
8,Yrityksen tila,Rekisterissä,21.01.2016,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,20.05.2020,
11,Yhteystiedot,,14.01.2016,
12,Postiosoite,Porttilyhdynkuja 12  90450  Kempele  Suomi,,
13,Käyntiosoite,Porttilyhdynkuja 12  90450  Kempele  Suomi,,
14,Puhelin,050-3391023,,
15,Sähköposti,juha.pesala(a)fimnet.fi,,
