,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Maanrakennus Sipponen Oy,24.02.2015,
1,Y-tunnus,2673430-1,,
2,Kotipaikka,Jämsä,24.02.2015,
3,Yritysmuoto,Osakeyhtiö,24.02.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,24.02.2015,,
6,Viimeisin rekisteröintiajankohta,14.07.2021,14.07.2021,
7,Yrityksen tiedot järjestelmässä alkaen,24.02.2015,,
8,Yrityksen tila,Rekisterissä,24.02.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,05.02.2015,
12,Postiosoite,Rantjärventie 192  42100  Jämsä  Suomi,,
13,Käyntiosoite,Rantjärventie 192  42100  Jämsä  Suomi,,
14,Puhelin,+358400164543,,
15,Sähköposti,jari.sipponen(a)gmail.com,,
