,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Tomatette Oy,02.09.2015,
1,Y-tunnus,2705716-2,,
2,Kotipaikka,Heinola,02.09.2015,
3,Yritysmuoto,Osakeyhtiö,02.09.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,02.09.2015,,
6,Viimeisin rekisteröintiajankohta,14.02.2023,14.02.2023,
7,Yrityksen tiedot järjestelmässä alkaen,02.09.2015,,
8,Yrityksen tila,Rekisterissä,02.09.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,20.04.2020,
11,Yhteystiedot,,19.01.2018,
12,Postiosoite,c/o Tomatette Oy  Lanssi 4  18100  Heinola  Suomi,,
13,Käyntiosoite,c/o Tomatette Oy  Lanssi 4  18100  Heinola  Suomi,,
14,Puhelin,"0400581111, 0400581111",,
15,Sähköposti,mikko.tukonen(a)gmail.com,,
16,Www,http://www.mikkotukonen.fi,,
