,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,CKAviation Oy,09.10.2015,
1,Y-tunnus,2714709-6,,
2,Kotipaikka,Raisio,09.10.2015,
3,Yritysmuoto,Osakeyhtiö,09.10.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,09.10.2015,,
6,Viimeisin rekisteröintiajankohta,14.03.2023,14.03.2023,
7,Yrityksen tiedot järjestelmässä alkaen,09.10.2015,,
8,Yrityksen tila,Rekisterissä,09.10.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,03.03.2020,
11,Yhteystiedot,,30.09.2015,
12,Postiosoite,Tontinkatu 16  21260  Raisio  Suomi,,
13,Käyntiosoite,Tontinkatu 16  21260  Raisio  Suomi,,
14,Puhelin,040 500 5712,,
15,Sähköposti,christer.kantola(a)gmail.com,,
