,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Tekten Oy,16.02.2015,
1,Y-tunnus,2672561-6,,
2,Kotipaikka,Helsinki,16.02.2015,
3,Yritysmuoto,Osakeyhtiö,16.02.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,16.02.2015,,
6,Viimeisin rekisteröintiajankohta,26.01.2023,26.01.2023,
7,Yrityksen tiedot järjestelmässä alkaen,16.02.2015,,
8,Yrityksen tila,Rekisterissä,16.02.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,03.07.2020,
11,Yhteystiedot,,25.02.2023,
12,Postiosoite,c/o Määttä  Taidemaalarinkatu 12 B 15  00430  Helsinki  Suomi,,
13,Käyntiosoite,c/o Määttä  Taidemaalarinkatu 12 B 15  00430  Helsinki  Suomi,,
14,Puhelin,"0453194008, 0453194008",,
15,Sähköposti,tektenoy(a)outlook.com,,
