,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,1365 Sanna Rautanen Oy,01.04.2015,
1,Y-tunnus,2681876-7,,
2,Kotipaikka,Iisalmi,01.04.2015,
3,Yritysmuoto,Osakeyhtiö,01.04.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,01.04.2015,,
6,Viimeisin rekisteröintiajankohta,05.07.2022,05.07.2022,
7,Yrityksen tiedot järjestelmässä alkaen,01.04.2015,,
8,Yrityksen tila,Rekisterissä,01.04.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,18.10.2019,
11,Yhteystiedot,,17.03.2015,
12,Postiosoite,Lumikonkatu 1  74130  Iisalmi  Suomi,,
13,Käyntiosoite,Kauppakatu 17  74100  Iisalmi  Suomi,,
