,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Lakiasiaintoimisto Havumäki & Grönqvist Oy,26.06.2015,
1,Y-tunnus,2698179-1,,
2,Kotipaikka,Espoo,26.06.2015,
3,Yritysmuoto,Osakeyhtiö,26.06.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,26.06.2015,,
6,Lakkaamisajankohta,08.09.2016,08.09.2016,
7,Viimeisin rekisteröintiajankohta,08.09.2016,08.09.2016,
8,Yrityksen tiedot järjestelmässä alkaen,26.06.2015,,
9,Yrityksen tila,Lakannut,08.09.2016,
10,Yrityksellä on yrityskiinnityksiä,Ei,,
