,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Markku Rossi Consulting Oy,09.02.2015,
1,Y-tunnus,2672905-1,,
2,Kotipaikka,Järvenpää,09.02.2015,
3,Yritysmuoto,Osakeyhtiö,09.02.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,09.02.2015,,
6,Viimeisin rekisteröintiajankohta,10.11.2022,10.11.2022,
7,Yrityksen tiedot järjestelmässä alkaen,09.02.2015,,
8,Yrityksen tila,Rekisterissä,09.02.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,02.04.2020,
11,Yhteystiedot,,13.03.2015,
12,Postiosoite,c/o Markku Rossi  Kiviojantie 3 B 2  04430  Järvenpää  Suomi,,
13,Käyntiosoite,c/o Markku Rossi  Kiviojantie 3 B 2  04430  Järvenpää  Suomi,,
14,Sähköposti,mtr(a)iki.fi,,
15,Www,http://www.markkurossi.com/,,
