,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Green Elephant Oy,04.10.2017,
1,Y-tunnus,2732829-2,,
2,Kotipaikka,Helsinki,20.01.2016,
3,Yritysmuoto,Osakeyhtiö,20.01.2016,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,20.01.2016,,
6,Viimeisin rekisteröintiajankohta,09.05.2023,09.05.2023,
7,Yrityksen tiedot järjestelmässä alkaen,20.01.2016,,
8,Yrityksen tila,Rekisterissä,20.01.2016,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,23.06.2020,
11,Yhteystiedot,,18.12.2015,
12,Postiosoite,Lönrrotinkatu 19 C 2  00120  Helsinki  Suomi,,
13,Puhelin,050 577 9908,,
14,Sähköposti,email(a)esterepannetier.com,,
15,Www,http://www.estere.pannetier.com,,
