,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Pasta Fabbrica Oy,01.06.2015,
1,Y-tunnus,2691766-9,,
2,Kotipaikka,Turku,01.06.2015,
3,Yritysmuoto,Osakeyhtiö,01.06.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,01.06.2015,,
6,Viimeisin rekisteröintiajankohta,29.04.2022,29.04.2022,
7,Yrityksen tiedot järjestelmässä alkaen,01.06.2015,,
8,Yrityksen tila,Rekisterissä,01.06.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,15.08.2022,
12,Postiosoite,c/o Alioune Badara Ndiaye  Kristiinankatu 5 G 25  20100  Turku  Suomi,,
13,Käyntiosoite,c/o Nomad Food&Wine  Kristiinankatu 5  20100  Turku  Suomi,,
14,Puhelin,"+35840 3602166, 0440837938",,
15,Sähköposti,paco(a)nomadfoodandwine.com,,
16,Www,http://www.nomadfoodandwine.com,,
