,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Fes kebab & grill oy,09.03.2016,
1,Y-tunnus,2734944-8,,
2,Kotipaikka,Salo,09.03.2016,
3,Yritysmuoto,Osakeyhtiö,09.03.2016,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,09.03.2016,,
6,Viimeisin rekisteröintiajankohta,21.05.2022,21.05.2022,
7,Yrityksen tiedot järjestelmässä alkaen,09.03.2016,,
8,Yrityksen tila,Rekisterissä,09.03.2016,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,07.01.2016,
12,Postiosoite,Alarinne 1  24280  Salo  Suomi,,
13,Käyntiosoite,Alarinne 1  24280  Salo  Suomi,,
14,Puhelin,"+358453280288, 027345119",,
15,Sähköposti,lamnafa(a)outlook.com,,
16,Www,http://www.feskebab.com,,
