,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Max Clean Finland Oy,04.06.2021,
1,Y-tunnus,2683849-3,,
2,Kotipaikka,Helsinki,04.06.2021,
3,Yritysmuoto,Osakeyhtiö,20.04.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,20.04.2015,,
6,Viimeisin rekisteröintiajankohta,05.05.2022,05.05.2022,
7,Yrityksen tiedot järjestelmässä alkaen,20.04.2015,,
8,Yrityksen tila,Rekisterissä,20.04.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,02.07.2020,
11,Yhteystiedot,,06.07.2021,
12,Postiosoite,c/o Näreranta  Usvapolku 2  04410  Järvenpää  Suomi,,
13,Puhelin,0405288505,,
14,Sähköposti,janne.nareranta(a)kuudi.fi,,
