,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Kainuun Vuokraosake Oy,01.04.2015,
1,Y-tunnus,2681995-4,,
2,Kotipaikka,Kajaani,01.04.2015,
3,Yritysmuoto,Osakeyhtiö,01.04.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,01.04.2015,,
6,Viimeisin rekisteröintiajankohta,05.07.2022,05.07.2022,
7,Yrityksen tiedot järjestelmässä alkaen,01.04.2015,,
8,Yrityksen tila,Rekisterissä,01.04.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,17.06.2020,
11,Yhteystiedot,,16.02.2023,
12,Postiosoite,Sammonkatu 13  87100  Kajaani  Suomi,,
13,Puhelin,"0505906605, 0505906605",,
14,Sähköposti,oskari.oikarinen(a)vuokraosake.fi,,
