,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,PF Mediat Oy,25.03.2015,
1,Y-tunnus,2680394-4,,
2,Kotipaikka,Turku,25.03.2015,
3,Yritysmuoto,Osakeyhtiö,25.03.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,25.03.2015,,
6,Viimeisin rekisteröintiajankohta,07.07.2022,07.07.2022,
7,Yrityksen tiedot järjestelmässä alkaen,25.03.2015,,
8,Yrityksen tila,Rekisterissä,25.03.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,06.03.2020,
11,Yhteystiedot,,06.09.2016,
12,Postiosoite,c/o Petri Kumlin  Vadstenankatu 15  21100  Naantali  Suomi,,
13,Käyntiosoite,c/o Petri Kumlin  Vadstenankatu 15  21100  Naantali  Suomi,,
14,Puhelin,040 708 9112,,
