,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,dripgrind Oy,15.05.2015,
1,Y-tunnus,2689154-2,,
2,Kotipaikka,Tampere,15.05.2015,
3,Yritysmuoto,Osakeyhtiö,15.05.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,15.05.2015,,
6,Viimeisin rekisteröintiajankohta,14.07.2022,14.07.2022,
7,Yrityksen tiedot järjestelmässä alkaen,15.05.2015,,
8,Yrityksen tila,Rekisterissä,15.05.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,29.06.2020,
11,Yhteystiedot,,16.05.2019,
12,Postiosoite,Satakunnankatu 12 A 10  33100  Tampere  Suomi,,
13,Käyntiosoite,Satakunnankatu 12 A 10  33100  Tampere  Suomi,,
14,Puhelin,+358407058399,,
15,Sähköposti,jaakko.rantanen(a)wallride.fi,,
