,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,O. Timoniemi Oy,12.08.2015,
1,Y-tunnus,2697976-3,,
2,Kotipaikka,Oulu,12.08.2015,
3,Yritysmuoto,Osakeyhtiö,12.08.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,12.08.2015,,
6,Viimeisin rekisteröintiajankohta,31.01.2023,31.01.2023,
7,Yrityksen tiedot järjestelmässä alkaen,12.08.2015,,
8,Yrityksen tila,Rekisterissä,12.08.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,16.06.2020,
11,Yhteystiedot,,12.03.2018,
12,Postiosoite,Kirkkotie 40 as. 1  91600  Utajärvi  Suomi,,
13,Puhelin,0407674734,,
14,Sähköposti,olavi(a)otimoniemi.fi,,
