,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,NSR Works Oy,09.10.2015,
1,Y-tunnus,2716102-3,,
2,Kotipaikka,Turku,09.10.2015,
3,Yritysmuoto,Osakeyhtiö,09.10.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,09.10.2015,,
6,Viimeisin rekisteröintiajankohta,13.01.2023,13.01.2023,
7,Yrityksen tiedot järjestelmässä alkaen,09.10.2015,,
8,Yrityksen tila,Rekisterissä,09.10.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,06.10.2015,
12,Postiosoite,c/o Sieppi Antti  Vesalankatu 4  20360  Turku  Suomi,,
13,Käyntiosoite,Tiemestarinkatu 2  20360  Turku  Suomi,,
