,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Focus on Balance Oy,20.01.2015,
1,Y-tunnus,2664051-6,,
2,Kotipaikka,Helsinki,20.01.2015,
3,Yritysmuoto,Osakeyhtiö,20.01.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,20.01.2015,,
6,Viimeisin rekisteröintiajankohta,02.02.2022,02.02.2022,
7,Yrityksen tiedot järjestelmässä alkaen,20.01.2015,,
8,Yrityksen tila,Rekisterissä,20.01.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,16.06.2020,
11,Yhteystiedot,,30.09.2022,
12,Postiosoite,c/o Helenius  Mannerheimintie 62 A 9  00260  Helsinki  Suomi,,
13,Puhelin,044-525 3663,,
