,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Porvoon julkisivupalvelut oy,11.11.2015,
1,Y-tunnus,2721746-1,,
2,Kotipaikka,Porvoo,11.11.2015,
3,Yritysmuoto,Osakeyhtiö,11.11.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,11.11.2015,,
6,Viimeisin rekisteröintiajankohta,17.05.2022,17.05.2022,
7,Yrityksen tiedot järjestelmässä alkaen,11.11.2015,,
8,Yrityksen tila,Rekisterissä,11.11.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,31.10.2015,
12,Postiosoite,Haksintie 203-14  06500  Porvoo  Suomi,,
13,Käyntiosoite,c/o porvoo  Haksintie 203-14  06500  Porvoo  Suomi,,
14,Puhelin,0407071733,,
15,Sähköposti,kaun87(a)hotmail.com,,
