,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Joy Story Oy,15.12.2015,
1,Y-tunnus,2728155-1,,
2,Kotipaikka,Espoo,15.12.2015,
3,Yritysmuoto,Osakeyhtiö,15.12.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,15.12.2015,,
6,Viimeisin rekisteröintiajankohta,28.04.2022,28.04.2022,
7,Yrityksen tiedot järjestelmässä alkaen,15.12.2015,,
8,Yrityksen tila,Rekisterissä,15.12.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,01.12.2015,
12,Postiosoite,c/o Lindblom Johanna  Puuhkalakintie 8  02780  Espoo  Suomi,,
13,Käyntiosoite,c/o Lindblom Johanna  Puuhkalakintie 8  02780  Espoo  Suomi,,
14,Puhelin,"0405187394, 040 5187394",,
15,Sähköposti,nannalindblom(a)gmail.com,,
