,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Suomen Metallum Oy,03.09.2015,
1,Y-tunnus,2706291-4,,
2,Kotipaikka,Kauniainen,03.09.2015,
3,Yritysmuoto,Osakeyhtiö,03.09.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,03.09.2015,,
6,Viimeisin rekisteröintiajankohta,15.04.2022,15.04.2022,
7,Yrityksen tiedot järjestelmässä alkaen,03.09.2015,,
8,Yrityksen tila,Rekisterissä,03.09.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,29.06.2020,
11,Yhteystiedot,,06.07.2020,
12,Postiosoite,c/o Eriksson  Kuokkakuja 4  02480  Kirkkonummi  Suomi,,
13,Käyntiosoite,c/o Eriksson  Kuokkakuja 4  02480  Kirkkonummi  Suomi,,
14,Puhelin,0405964635,,
15,Sähköposti,hakan.eriksson(a)metallum.fi,,
