,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Hauscon Oy,14.03.2016,
1,Y-tunnus,2699741-9,,
2,Kotipaikka,Espoo,14.03.2016,
3,Yritysmuoto,Osakeyhtiö,16.07.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,16.07.2015,,
6,Viimeisin rekisteröintiajankohta,13.07.2020,13.07.2020,
7,Yrityksen tiedot järjestelmässä alkaen,16.07.2015,,
8,Yrityksen tila,Rekisterissä,16.07.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,09.07.2020,
11,Yhteystiedot,,17.07.2020,
12,Postiosoite,Saturnuksenrinne 2 C 33  01480  Vantaa  Suomi,,
13,Käyntiosoite,Saturnuksenrinne 2 C 33  01480  Vantaa  Suomi,,
14,Puhelin,"0445260409, 0445260409",,
15,Sähköposti,buildconsa(a)gmail.com,,
