,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Oy CUM Ab,17.04.2020,
1,Y-tunnus,2676999-3,,
2,Kotipaikka,Espoo,25.02.2015,
3,Yritysmuoto,Osakeyhtiö,14.07.2016,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,25.02.2015,,
6,Viimeisin rekisteröintiajankohta,23.06.2022,23.06.2022,
7,Yrityksen tiedot järjestelmässä alkaen,25.02.2015,,
8,Yrityksen tila,Rekisterissä,25.02.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,31.03.2020,
11,Yhteystiedot,,31.08.2020,
12,Postiosoite,Tegelhagen 2 lt. 3  02780  Espoo  Suomi,,
13,Käyntiosoite,Tegelhagen 2  02780  Espoo  Suomi,,
14,Puhelin,"0400195691, 0500896123",,
15,Sähköposti,ulla.cederberg(a)cryo21.fi,,
16,Www,http://www.terveyskauppaulpukka.fi,,
