,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,JP Pulkkinen Oy,01.06.2019,
1,Y-tunnus,2685237-5,,
2,Kotipaikka,Kemi,01.06.2019,
3,Yritysmuoto,Osakeyhtiö,01.06.2019,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,21.04.2015,,
6,Viimeisin rekisteröintiajankohta,03.08.2022,03.08.2022,
7,Yrityksen tiedot järjestelmässä alkaen,21.04.2015,,
8,Yrityksen tila,Rekisterissä,21.04.2015,
9,Yrityksellä on yrityskiinnityksiä,Kyllä,,
10,Yrityksellä on edunsaajatietoja,Kyllä,05.05.2020,
11,Yhteystiedot,,04.08.2021,
12,Postiosoite,Saarenotantie 50  94300  Kemi  Suomi,,
13,Käyntiosoite,Varikonkatu 25  94200  Kemi  Suomi,,
14,Puhelin,045 2311 050,,
15,Sähköposti,pulkkinenjarkko89(a)gmail.com,,
