,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,NP Brewers Ab,09.12.2015,
1,Y-tunnus,2727931-2,,
2,Kotipaikka,Vaasa,09.12.2015,
3,Yritysmuoto,Osakeyhtiö,09.12.2015,
4,Yrityksen kieli,ruotsi,,
5,Rekisteröintiajankohta,09.12.2015,,
6,Viimeisin rekisteröintiajankohta,12.05.2023,12.05.2023,
7,Yrityksen tiedot järjestelmässä alkaen,09.12.2015,,
8,Yrityksen tila,Rekisterissä,09.12.2015,
9,Yrityksen tilanne,Selvitystilassa,12.05.2023,
10,Yrityksellä on yrityskiinnityksiä,Ei,,
11,Yrityksellä on edunsaajatietoja,Kyllä,02.06.2020,
12,Yhteystiedot,,12.05.2023,
13,Postiosoite,c/o Rantalainen Oy Botnia  Torgvägen 1  65610  Korsholm  Suomi,,
14,Sähköposti,inger.tallgard(a)rantalainen.fi,,
