,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Rakennuttajapalvelu Tikkala Oy,01.04.2015,
1,Y-tunnus,2682385-7,,
2,Kotipaikka,Lohja,01.04.2015,
3,Yritysmuoto,Osakeyhtiö,01.04.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,01.04.2015,,
6,Viimeisin rekisteröintiajankohta,25.05.2022,25.05.2022,
7,Yrityksen tiedot järjestelmässä alkaen,01.04.2015,,
8,Yrityksen tila,Rekisterissä,01.04.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,01.06.2020,
11,Yhteystiedot,,01.11.2021,
12,Postiosoite,c/o Voudinkuja 1 B 14  Voudinkuja 1 B 14  08200  Lohja  Suomi,,
13,Puhelin,050 3027436,,
14,Sähköposti,rp.tikkala(a)gmail.com,,
