,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Perhekoti Niemelänrinne Oy,29.04.2015,
1,Y-tunnus,2687830-5,,
2,Kotipaikka,Ilmajoki,29.04.2015,
3,Yritysmuoto,Osakeyhtiö,29.04.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,29.04.2015,,
6,Viimeisin rekisteröintiajankohta,13.09.2022,13.09.2022,
7,Yrityksen tiedot järjestelmässä alkaen,29.04.2015,,
8,Yrityksen tila,Rekisterissä,29.04.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,27.03.2020,
11,Yhteystiedot,,23.04.2015,
12,Postiosoite,Tuomikyläntie 760  60720  Tuomikylä  Suomi,,
13,Käyntiosoite,Tuomikyläntie 760  60720  Tuomikylä  Suomi,,
14,Puhelin,0443067222,,
15,Sähköposti,jarmo.niemela(a)netikka.fi,,
