,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Transcreate Rinne Oy,11.02.2015,
1,Y-tunnus,2672073-5,,
2,Kotipaikka,Espoo,11.02.2015,
3,Yritysmuoto,Osakeyhtiö,11.02.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,11.02.2015,,
6,Viimeisin rekisteröintiajankohta,01.03.2022,01.03.2022,
7,Yrityksen tiedot järjestelmässä alkaen,11.02.2015,,
8,Yrityksen tila,Rekisterissä,11.02.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,09.08.2019,
11,Yhteystiedot,,01.02.2015,
12,Postiosoite,Töyrymäki 11  02760  Espoo  Suomi,,
13,Käyntiosoite,Töyrymäki 11  02760  Espoo  Suomi,,
14,Puhelin,050 576 9794,,
15,Sähköposti,karoliina.rinne(a)elisanet.fi,,
