,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Wedenberg Inc Oy,06.09.2016,
1,Y-tunnus,2680094-6,,
2,Kotipaikka,Helsinki,16.03.2015,
3,Yritysmuoto,Osakeyhtiö,16.03.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,16.03.2015,,
6,Viimeisin rekisteröintiajankohta,12.12.2022,12.12.2022,
7,Yrityksen tiedot järjestelmässä alkaen,16.03.2015,,
8,Yrityksen tila,Rekisterissä,16.03.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,17.06.2020,
11,Yhteystiedot,,01.12.2015,
12,Postiosoite,Gustav Pauligin katu 14 A 4  00990  Helsingfors  Suomi,,
13,Käyntiosoite,Gustav Pauligin katu 14 A 4  00990  Helsingfors  Suomi,,
14,Puhelin,"0505446684, 0505446684",,
15,Sähköposti,andreaswedenberg(a)gmail.com,,
16,Www,http://www.tomorrowlabs.net,,
