,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Japrak Oy,08.01.2016,
1,Y-tunnus,2731801-9,,
2,Kotipaikka,Porvoo,08.01.2016,
3,Yritysmuoto,Osakeyhtiö,08.01.2016,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,08.01.2016,,
6,Viimeisin rekisteröintiajankohta,29.06.2022,29.06.2022,
7,Yrityksen tiedot järjestelmässä alkaen,08.01.2016,,
8,Yrityksen tila,Rekisterissä,08.01.2016,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,26.04.2017,
12,Postiosoite,c/o Alkemax Oy  Sannaistenkatu 8  06100  Porvoo  Suomi,,
13,Käyntiosoite,Sudenpesäntie 41  07310  Sannainen  Suomi,,
14,Puhelin,"040 558 2976, 040 558 2976",,
15,Sähköposti,jani.paju(a)verde.fi,,
