,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Oy Vassbuk Capital Ab,21.09.2015,
1,Y-tunnus,2709559-9,,
2,Kotipaikka,Helsinki,21.09.2015,
3,Yritysmuoto,Osakeyhtiö,21.09.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,21.09.2015,,
6,Viimeisin rekisteröintiajankohta,04.05.2022,04.05.2022,
7,Yrityksen tiedot järjestelmässä alkaen,21.09.2015,,
8,Yrityksen tila,Rekisterissä,21.09.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,04.05.2022,
11,Yhteystiedot,,11.06.2020,
12,Postiosoite,c/o Jan Malms  Tornitaso 7 A 23  02120  Espoo  Suomi,,
13,Puhelin,+358505897781,,
14,Sähköposti,jan.malms(a)gmail.com,,
