,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,PolarTalk Oy,11.02.2015,
1,Y-tunnus,2673133-8,,
2,Kotipaikka,Sodankylä,11.02.2015,
3,Yritysmuoto,Osakeyhtiö,11.02.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,11.02.2015,,
6,Viimeisin rekisteröintiajankohta,10.06.2022,10.06.2022,
7,Yrityksen tiedot järjestelmässä alkaen,11.02.2015,,
8,Yrityksen tila,Rekisterissä,11.02.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,07.05.2021,
11,Yhteystiedot,,21.07.2020,
12,Postiosoite,Savikankaantie 11  99600  Sodankylä  Suomi,,
13,Käyntiosoite,Savikankaantie 11  99600  Sodankylä  Suomi,,
14,Puhelin,"0401388729, 0401388729",,
15,Sähköposti,henna.poikela(a)puheterapeutti.fi,,
16,Www,http://www.polartalk.com,,
