,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Kriso Team Oy,08.10.2015,
1,Y-tunnus,2713949-1,,
2,Kotipaikka,Naantali,08.10.2015,
3,Yritysmuoto,Osakeyhtiö,08.10.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,08.10.2015,,
6,Viimeisin rekisteröintiajankohta,24.05.2022,24.05.2022,
7,Yrityksen tiedot järjestelmässä alkaen,08.10.2015,,
8,Yrityksen tila,Rekisterissä,08.10.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,05.11.2019,
11,Yhteystiedot,,10.01.2017,
12,Postiosoite,Timpurintie 1  21110  Naantali  Suomi,,
13,Käyntiosoite,"c/o Tehtaankatu 4, 26100 Rauma  Tehtaankatu 4  26100  Rauma  Suomi",,
14,Puhelin,0505099812,,
15,Sähköposti,jussi.pennanen(a)krisoteam.fi,,
16,Www,http://www.krisoteam.fi,,
