,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Sointupaja Oy,31.07.2015,
1,Y-tunnus,2701487-5,,
2,Kotipaikka,Tyrnävä,31.07.2015,
3,Yritysmuoto,Osakeyhtiö,31.07.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,31.07.2015,,
6,Viimeisin rekisteröintiajankohta,30.04.2022,30.04.2022,
7,Yrityksen tiedot järjestelmässä alkaen,31.07.2015,,
8,Yrityksen tila,Rekisterissä,31.07.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,29.08.2019,
11,Yhteystiedot,,21.07.2015,
12,Postiosoite,c/o Erja Anttila  Vanhantienvarsi 27 B  91950  Temmes  Suomi,,
