,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Teho Lauri Oy,11.09.2015,
1,Y-tunnus,2708448-6,,
2,Kotipaikka,Sipoo,11.09.2015,
3,Yritysmuoto,Osakeyhtiö,11.09.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,11.09.2015,,
6,Viimeisin rekisteröintiajankohta,08.02.2023,08.02.2023,
7,Yrityksen tiedot järjestelmässä alkaen,11.09.2015,,
8,Yrityksen tila,Rekisterissä,11.09.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,02.12.2019,
11,Yhteystiedot,,02.09.2015,
12,Postiosoite,Pyhän Sigfridintie 11 B 2  04130  Sipoo  Suomi,,
13,Käyntiosoite,Pyhän Sigfridintie 11 B 2  04130  Sipoo  Suomi,,
14,Puhelin,0442609999,,
15,Sähköposti,teho21(a)hotmail.com,,
