,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Melkki johtaminen ja neuvonta Oy,18.10.2019,
1,Y-tunnus,2727816-8,,
2,Kotipaikka,Helsinki,21.12.2015,
3,Yritysmuoto,Osakeyhtiö,21.12.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,21.12.2015,,
6,Viimeisin rekisteröintiajankohta,10.03.2023,10.03.2023,
7,Yrityksen tiedot järjestelmässä alkaen,21.12.2015,,
8,Yrityksen tila,Rekisterissä,21.12.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,01.06.2020,
11,Yhteystiedot,,05.01.2022,
12,Postiosoite,c/o Melkki johtaminen ja neuvonta  Malminkatu 30  00100  Helsinki  Suomi,,
13,Käyntiosoite,c/o Melkki johtaminen ja neuvonta  Malminkatu 30  00100  Helsinki  Suomi,,
14,Puhelin,+358503213167,,
15,Sähköposti,tuukka.ihalainen(a)melkki.fi,,
16,Www,http://www.melkki.fi,,
