,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Argento Fur and Leather Oy,05.03.2015,
1,Y-tunnus,2677655-2,,
2,Kotipaikka,Uusikaarlepyy,05.03.2015,
3,Yritysmuoto,Osakeyhtiö,05.03.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,05.03.2015,,
6,Viimeisin rekisteröintiajankohta,25.10.2021,25.10.2021,
7,Yrityksen tiedot järjestelmässä alkaen,05.03.2015,,
8,Yrityksen tila,Rekisterissä,05.03.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,02.12.2020,
12,Postiosoite,c/o Adnan Tirak  Tikaskallio 1 A  02250  Espoo  Suomi,,
13,Käyntiosoite,c/o Adnan Tirak  Tikaskallio 1 A  02250  Espoo  Suomi,,
14,Puhelin,0453574552,,
15,Sähköposti,adnan.tirak(a)argentofur.com,,
16,Www,http://www.argentofur.com,,
