,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Kaseta Oy,05.02.2015,
1,Y-tunnus,2664049-5,,
2,Kotipaikka,Tampere,05.02.2015,
3,Yritysmuoto,Osakeyhtiö,05.02.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,05.02.2015,,
6,Viimeisin rekisteröintiajankohta,11.05.2022,11.05.2022,
7,Yrityksen tiedot järjestelmässä alkaen,05.02.2015,,
8,Yrityksen tila,Rekisterissä,05.02.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,24.06.2020,
11,Yhteystiedot,,23.04.2015,
12,Postiosoite,Hatanpään valtatie 34 F  33100  Tampere  Suomi,,
13,Puhelin,0405516689,,
14,Sähköposti,seija.varjonen(a)gmail.com,,
