,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Cool Style Salon Oy,19.11.2015,
1,Y-tunnus,2724505-9,,
2,Kotipaikka,Helsinki,19.11.2015,
3,Yritysmuoto,Osakeyhtiö,19.11.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,19.11.2015,,
6,Viimeisin rekisteröintiajankohta,25.03.2023,25.03.2023,
7,Yrityksen tiedot järjestelmässä alkaen,19.11.2015,,
8,Yrityksen tila,Rekisterissä,19.11.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,19.02.2020,
12,Postiosoite,c/o Li Liang (Jason)  Selkämerenkatu 1  00180  Helsinki  Suomi,,
13,Käyntiosoite,Pohjoinen Rautatiekatu 15 A 1  00100  Helsinki  Suomi,,
14,Sähköposti,li2015liang(a)gmail.com,,
