,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Santiago Capital Oy,29.10.2015,
1,Y-tunnus,2720238-2,,
2,Kotipaikka,Espoo,29.10.2015,
3,Yritysmuoto,Osakeyhtiö,29.10.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,29.10.2015,,
6,Viimeisin rekisteröintiajankohta,21.05.2022,21.05.2022,
7,Yrityksen tiedot järjestelmässä alkaen,29.10.2015,,
8,Yrityksen tila,Rekisterissä,29.10.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,20.05.2021,
11,Yhteystiedot,,29.10.2015,
12,Postiosoite,c/o Jari Wallasvaara  Pirttikuja 6 A  02330  Espoo  Suomi,,
13,Käyntiosoite,c/o Jari Wallasvaara  Pirttikuja 6 A  02330  Espoo  Suomi,,
