,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Jii2 Palvelut Oy,06.05.2015,
1,Y-tunnus,2688968-8,,
2,Kotipaikka,Joensuu,06.05.2015,
3,Yritysmuoto,Osakeyhtiö,06.05.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,06.05.2015,,
6,Viimeisin rekisteröintiajankohta,01.08.2016,01.08.2016,
7,Yrityksen tiedot järjestelmässä alkaen,06.05.2015,,
8,Yrityksen tila,Rekisterissä,06.05.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,08.09.2016,
12,Postiosoite,00000  Osoite tuntematon  Suomi,,
13,Puhelin,"0453406596, 0451381338",,
14,Sähköposti,jii2palvelut(a)gmail.com,,
